,CRASH_NUMB,CRASH_DATE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,CRASH_SEVERITY_DESCR,IS_SEVERE,NUMB_VEHC,NUMB_NONFATAL_INJR,NUMB_FATAL_INJR,WEATH_COND_DESCR,WEATHER_SIMPLE,ROAD_SURF_COND_DESCR,ROAD_SIMPLE,AMBNT_LIGHT_DESCR,LIGHTING_SIMPLE,MANR_COLL_DESCR,SPEED_LIMIT,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON
72209,5562831,2025-07-25 16:33:00+00:00,16,Friday,July,0,Property damage only (none injured),0,4,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,Not at junction,No controls,42.28059596,-71.08343587
72216,5562824,2025-08-14 08:52:00+00:00,8,Thursday,August,0,Non-fatal injury,1,2,2,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Traffic control signal,42.28156518,-71.08704777
72220,5562820,2025-08-16 13:40:00+00:00,13,Saturday,August,1,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Four-way intersection,Stop signs,42.25845593,-71.14019648
72305,5562733,2025-08-10 02:28:00+00:00,2,Sunday,August,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,Four-way intersection,Traffic control signal,42.28406946,-71.09143486
72475,5562515,2025-07-11 01:30:00+00:00,1,Friday,July,0,Non-fatal injury,1,1,3,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,Not at junction,No controls,42.29882812,-71.04703402
72505,5564372,2025-08-21 06:50:00+00:00,6,Thursday,August,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,20.0,Not at junction,No controls,42.27668143,-71.09360778
72573,5564301,2025-08-02 16:10:00+00:00,16,Saturday,August,1,Property damage only (none injured),0,3,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,,Not at junction,No controls,42.32421806,-71.0887878
72900,5563964,2025-08-02 20:10:00+00:00,20,Saturday,August,1,Non-fatal injury,1,2,2,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,"Sideswipe, opposite direction",30.0,Not at junction,No controls,42.33418587,-71.06240967
72908,5563955,2025-08-16 10:26:00+00:00,10,Saturday,August,1,Non-fatal injury,1,3,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,40.0,Not at junction,No controls,42.3689142,-71.06445406
72910,5563953,2025-08-16 14:34:00+00:00,14,Saturday,August,1,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,45.0,Not at junction,Warning signs,42.34679471,-71.03768288
